,survived,pclass,sex,age,sibsp,parch,fare,embarked,alone
57,0,3,0,28,0,0,7.2292,1,1
58,1,2,1,5,1,2,27.75,0,0
59,0,3,0,11,5,2,46.9,0,0
60,0,3,0,22,0,0,7.2292,1,1
61,1,1,1,38,0,0,80.0,0,1
62,0,1,0,45,1,0,83.475,0,0
63,0,3,0,4,3,2,27.9,0,0
64,0,1,0,29,0,0,27.7208,1,1
65,1,3,0,29,1,1,15.2458,1,0
66,1,2,1,29,0,0,10.5,0,1
67,0,3,0,19,0,0,8.1583,0,1
68,1,3,1,17,4,2,7.925,0,0
69,0,3,0,26,2,0,8.6625,0,0
70,0,2,0,32,0,0,10.5,0,1
71,0,3,1,16,5,2,46.9,0,0
72,0,2,0,21,0,0,73.5,0,1
73,0,3,0,26,1,0,14.4542,1,0
74,1,3,0,32,0,0,56.4958,0,1
75,0,3,0,25,0,0,7.65,0,1
78,1,2,0,0,0,2,29.0,0,0
79,1,3,1,30,0,0,12.475,0,1
80,0,3,0,22,0,0,9.0,0,1
81,1,3,0,29,0,0,9.5,0,1
82,1,3,1,29,0,0,7.7875,2,1
83,0,1,0,28,0,0,47.1,0,1
84,1,2,1,17,0,0,10.5,0,1
85,1,3,1,33,3,0,15.85,0,0
86,0,3,0,16,1,3,34.375,0,0
88,1,1,1,23,3,2,263.0,0,0
89,0,3,0,24,0,0,8.05,0,1
90,0,3,0,29,0,0,8.05,0,1
91,0,3,0,20,0,0,7.8542,0,1
92,0,1,0,46,1,0,61.175,0,0
93,0,3,0,26,1,2,20.575,0,0
94,0,3,0,59,0,0,7.25,0,1
96,0,1,0,71,0,0,34.6542,1,1
97,1,1,0,23,0,1,63.3583,1,0
98,1,2,1,34,0,1,23.0,0,0
99,0,2,0,34,1,0,26.0,0,0
100,0,3,1,28,0,0,7.8958,0,1
102,0,1,0,21,0,1,77.2875,0,0
103,0,3,0,33,0,0,8.6542,0,1
104,0,3,0,37,2,0,7.925,0,0
105,0,3,0,28,0,0,7.8958,0,1
106,1,3,1,21,0,0,7.65,0,1
107,1,3,0,29,0,0,7.775,0,1
108,0,3,0,38,0,0,7.8958,0,1
109,1,3,1,29,1,0,24.15,2,0
110,0,1,0,47,0,0,52.0,0,1
111,0,3,1,14,1,0,14.4542,1,0
112,0,3,0,22,0,0,8.05,0,1
113,0,3,1,20,1,0,9.825,0,0
114,0,3,1,17,0,0,14.4583,1,1
115,0,3,0,21,0,0,7.925,0,1
116,0,3,0,70,0,0,7.75,2,1
117,0,2,0,29,1,0,21.0,0,0
118,0,1,0,24,0,1,247.5208,1,0
119,0,3,1,2,4,2,31.275,0,0
120,0,2,0,21,2,0,73.5,0,0
122,0,2,0,32,1,0,30.0708,1,0
123,1,2,1,32,0,0,13.0,0,1
124,0,1,0,54,0,1,77.2875,0,0
125,1,3,0,12,1,0,11.2417,1,0
126,0,3,0,29,0,0,7.75,2,1
127,1,3,0,24,0,0,7.1417,0,1
128,1,3,1,29,1,1,22.3583,1,0
129,0,3,0,45,0,0,6.975,0,1
130,0,3,0,33,0,0,7.8958,1,1
131,0,3,0,20,0,0,7.05,0,1
132,0,3,1,47,1,0,14.5,0,0
134,0,2,0,25,0,0,13.0,0,1
135,0,2,0,23,0,0,15.0458,1,1
136,1,1,1,19,0,2,26.2833,0,0
137,0,1,0,37,1,0,53.1,0,0
138,0,3,0,16,0,0,9.2167,0,1
139,0,1,0,24,0,0,79.2,1,1
140,0,3,1,29,0,2,15.2458,1,0
141,1,3,1,22,0,0,7.75,0,1
142,1,3,1,24,1,0,15.85,0,0
143,0,3,0,19,0,0,6.75,2,1
144,0,2,0,18,0,0,11.5,0,1
145,0,2,0,19,1,1,36.75,0,0
146,1,3,0,27,0,0,7.7958,0,1
147,0,3,1,9,2,2,34.375,0,0
148,0,2,0,36,0,2,26.0,0,0
149,0,2,0,42,0,0,13.0,0,1
150,0,2,0,51,0,0,12.525,0,1
151,1,1,1,22,1,0,66.6,0,0
152,0,3,0,55,0,0,8.05,0,1
153,0,3,0,40,0,2,14.5,0,0
154,0,3,0,29,0,0,7.3125,0,1
155,0,1,0,51,0,1,61.3792,1,0
156,1,3,1,16,0,0,7.7333,2,1
157,0,3,0,30,0,0,8.05,0,1
158,0,3,0,29,0,0,8.6625,0,1
159,0,3,0,29,8,2,69.55,0,0
160,0,3,0,44,0,1,16.1,0,0
161,1,2,1,40,0,0,15.75,0,1
162,0,3,0,26,0,0,7.775,0,1
163,0,3,0,17,0,0,8.6625,0,1
164,0,3,0,1,4,1,39.6875,0,0
165,1,3,0,9,0,2,20.525,0,0
166,1,1,1,29,0,1,55.0,0,0
167,0,3,1,45,1,4,27.9,0,0
168,0,1,0,29,0,0,25.925,0,1
169,0,3,0,28,0,0,56.4958,0,1
170,0,1,0,61,0,0,33.5,0,1
171,0,3,0,4,4,1,29.125,2,0
172,1,3,1,1,1,1,11.1333,0,0
174,0,1,0,56,0,0,30.6958,1,1
175,0,3,0,18,1,1,7.8542,0,0
176,0,3,0,29,3,1,25.4667,0,0
177,0,1,1,50,0,0,28.7125,1,1
178,0,2,0,30,0,0,13.0,0,1
179,0,3,0,36,0,0,0.0,0,1
180,0,3,1,29,8,2,69.55,0,0
181,0,2,0,29,0,0,15.05,1,1
182,0,3,0,9,4,2,31.3875,0,0
183,1,2,0,1,2,1,39.0,0,0
184,1,3,1,4,0,2,22.025,0,0
185,0,1,0,29,0,0,50.0,0,1
186,1,3,1,29,1,0,15.5,2,0
187,1,1,0,45,0,0,26.55,0,1
188,0,3,0,40,1,1,15.5,2,0
189,0,3,0,36,0,0,7.8958,0,1
190,1,2,1,32,0,0,13.0,0,1
191,0,2,0,19,0,0,13.0,0,1
192,1,3,1,19,1,0,7.8542,0,0
193,1,2,0,3,1,1,26.0,0,0
194,1,1,1,44,0,0,27.7208,1,1
195,1,1,1,58,0,0,146.5208,1,1
197,0,3,0,42,0,1,8.4042,0,0
199,0,2,1,24,0,0,13.0,0,1
200,0,3,0,28,0,0,9.5,0,1
202,0,3,0,34,0,0,6.4958,0,1
203,0,3,0,45,0,0,7.225,1,1
204,1,3,0,18,0,0,8.05,0,1
205,0,3,1,2,0,1,10.4625,0,0
206,0,3,0,32,1,0,15.85,0,0
207,1,3,0,26,0,0,18.7875,1,1
208,1,3,1,16,0,0,7.75,2,1
209,1,1,0,40,0,0,31.0,1,1
210,0,3,0,24,0,0,7.05,0,1
211,1,2,1,35,0,0,21.0,0,1
212,0,3,0,22,0,0,7.25,0,1
214,0,3,0,29,1,0,7.75,2,0
215,1,1,1,31,1,0,113.275,1,0
216,1,3,1,27,0,0,7.925,0,1
217,0,2,0,42,1,0,27.0,0,0
218,1,1,1,32,0,0,76.2917,1,1
219,0,2,0,30,0,0,10.5,0,1
220,1,3,0,16,0,0,8.05,0,1
221,0,2,0,27,0,0,13.0,0,1
222,0,3,0,51,0,0,8.05,0,1
224,1,1,0,38,1,0,90.0,0,0
225,0,3,0,22,0,0,9.35,0,1
226,1,2,0,19,0,0,10.5,0,1
227,0,3,0,20,0,0,7.25,0,1
228,0,2,0,18,0,0,13.0,0,1
229,0,3,1,29,3,1,25.4667,0,0
230,1,1,1,35,1,0,83.475,0,0
231,0,3,0,29,0,0,7.775,0,1
232,0,2,0,59,0,0,13.5,0,1
233,1,3,1,5,4,2,31.3875,0,0
234,0,2,0,24,0,0,10.5,0,1
235,0,3,1,29,0,0,7.55,0,1
236,0,2,0,44,1,0,26.0,0,0
237,1,2,1,8,0,2,26.25,0,0
238,0,2,0,19,0,0,10.5,0,1
239,0,2,0,33,0,0,12.275,0,1
240,0,3,1,29,1,0,14.4542,1,0
242,0,2,0,29,0,0,10.5,0,1
243,0,3,0,22,0,0,7.125,0,1
244,0,3,0,30,0,0,7.225,1,1
245,0,1,0,44,2,0,90.0,2,0
246,0,3,1,25,0,0,7.775,0,1
247,1,2,1,24,0,2,14.5,0,0
248,1,1,0,37,1,1,52.5542,0,0
249,0,2,0,54,1,0,26.0,0,0
250,0,3,0,29,0,0,7.25,0,1
251,0,3,1,29,1,1,10.4625,0,0
252,0,1,0,62,0,0,26.55,0,1
253,0,3,0,30,1,0,16.1,0,0
254,0,3,1,41,0,2,20.2125,0,0
255,1,3,1,29,0,2,15.2458,1,0
256,1,1,1,29,0,0,79.2,1,1
257,1,1,1,30,0,0,86.5,0,1
258,1,1,1,35,0,0,512.3292,1,1
259,1,2,1,50,0,1,26.0,0,0
261,1,3,0,3,4,2,31.3875,0,0
262,0,1,0,52,1,1,79.65,0,0
263,0,1,0,40,0,0,0.0,0,1
264,0,3,1,29,0,0,7.75,2,1
265,0,2,0,36,0,0,10.5,0,1
266,0,3,0,16,4,1,39.6875,0,0
267,1,3,0,25,1,0,7.775,0,0
268,1,1,1,58,0,1,153.4625,0,0
269,1,1,1,35,0,0,135.6333,0,1
270,0,1,0,29,0,0,31.0,0,1
271,1,3,0,25,0,0,0.0,0,1
272,1,2,1,41,0,1,19.5,0,0
273,0,1,0,37,0,1,29.7,1,0
275,1,1,1,63,1,0,77.9583,0,0
276,0,3,1,45,0,0,7.75,0,1
277,0,2,0,29,0,0,0.0,0,1
278,0,3,0,7,4,1,29.125,2,0
279,1,3,1,35,1,1,20.25,0,0
280,0,3,0,65,0,0,7.75,2,1
281,0,3,0,28,0,0,7.8542,0,1
282,0,3,0,16,0,0,9.5,0,1
283,1,3,0,19,0,0,8.05,0,1
284,0,1,0,29,0,0,26.0,0,1
285,0,3,0,33,0,0,8.6625,1,1
286,1,3,0,30,0,0,9.5,0,1
287,0,3,0,22,0,0,7.8958,0,1
288,1,2,0,42,0,0,13.0,0,1
289,1,3,1,22,0,0,7.75,2,1
290,1,1,1,26,0,0,78.85,0,1
291,1,1,1,19,1,0,91.0792,1,0
292,0,2,0,36,0,0,12.875,1,1
293,0,3,1,24,0,0,8.85,0,1
294,0,3,0,24,0,0,7.8958,0,1
296,0,3,0,23,0,0,7.2292,1,1
297,0,1,1,2,1,2,151.55,0,0
298,1,1,0,29,0,0,30.5,0,1
299,1,1,1,50,0,1,247.5208,1,0
301,1,3,0,29,2,0,23.25,2,0
302,0,3,0,19,0,0,0.0,0,1
303,1,2,1,29,0,0,12.35,2,1
305,1,1,0,0,1,2,151.55,0,0
306,1,1,1,29,0,0,110.8833,1,1
307,1,1,1,17,1,0,108.9,1,0
308,0,2,0,30,1,0,24.0,1,0
309,1,1,1,30,0,0,56.9292,1,1
310,1,1,1,24,0,0,83.1583,1,1
311,1,1,1,18,2,2,262.375,1,0
312,0,2,1,26,1,1,26.0,0,0
314,0,2,0,43,1,1,26.25,0,0
315,1,3,1,26,0,0,7.8542,0,1
316,1,2,1,24,1,0,26.0,0,0
317,0,2,0,54,0,0,14.0,0,1
318,1,1,1,31,0,2,164.8667,0,0
319,1,1,1,40,1,1,134.5,1,0
321,0,3,0,27,0,0,7.8958,0,1
322,1,2,1,30,0,0,12.35,2,1
323,1,2,1,22,1,1,29.0,0,0
325,1,1,1,36,0,0,135.6333,1,1
326,0,3,0,61,0,0,6.2375,0,1
327,1,2,1,36,0,0,13.0,0,1
328,1,3,1,31,1,1,20.525,0,0
329,1,1,1,16,0,1,57.9792,1,0
330,1,3,1,29,2,0,23.25,2,0
331,0,1,0,45,0,0,28.5,0,1
332,0,1,0,38,0,1,153.4625,0,0
333,0,3,0,16,2,0,18.0,0,0
334,1,1,1,29,1,0,133.65,0,0
336,0,1,0,29,1,0,66.6,0,0
337,1,1,1,41,0,0,134.5,1,1
338,1,3,0,45,0,0,8.05,0,1
339,0,1,0,45,0,0,35.5,0,1
340,1,2,0,2,1,1,26.0,0,0
341,1,1,1,24,3,2,263.0,0,0
342,0,2,0,28,0,0,13.0,0,1
344,0,2,0,36,0,0,13.0,0,1
345,1,2,1,24,0,0,13.0,0,1
346,1,2,1,40,0,0,13.0,0,1
347,1,3,1,29,1,0,16.1,0,0
348,1,3,0,3,1,1,15.9,0,0
349,0,3,0,42,0,0,8.6625,0,1
350,0,3,0,23,0,0,9.225,0,1
351,0,1,0,29,0,0,35.0,0,1
352,0,3,0,15,1,1,7.2292,1,0
353,0,3,0,25,1,0,17.8,0,0
356,1,1,1,22,0,1,55.0,0,0
357,0,2,1,38,0,0,13.0,0,1
360,0,3,0,40,1,4,27.9,0,0
361,0,2,0,29,1,0,27.7208,1,0
362,0,3,1,45,0,1,14.4542,1,0
363,0,3,0,35,0,0,7.05,0,1
365,0,3,0,30,0,0,7.25,0,1
366,1,1,1,60,1,0,75.25,1,0
367,1,3,1,29,0,0,7.2292,1,1
369,1,1,1,24,0,0,69.3,1,1
370,1,1,0,25,1,0,55.4417,1,0
371,0,3,0,18,1,0,6.4958,0,0
372,0,3,0,19,0,0,8.05,0,1
373,0,1,0,22,0,0,135.6333,1,1
374,0,3,1,3,3,1,21.075,0,0
375,1,1,1,29,1,0,82.1708,1,0
376,1,3,1,22,0,0,7.25,0,1
377,0,1,0,27,0,2,211.5,1,0
378,0,3,0,20,0,0,4.0125,1,1
379,0,3,0,19,0,0,7.775,0,1
380,1,1,1,42,0,0,227.525,1,1
381,1,3,1,1,0,2,15.7417,1,0
382,0,3,0,32,0,0,7.925,0,1
383,1,1,1,35,1,0,52.0,0,0
385,0,2,0,18,0,0,73.5,0,1
386,0,3,0,1,5,2,46.9,0,0
388,0,3,0,29,0,0,7.7292,2,1
389,1,2,1,17,0,0,12.0,1,1
390,1,1,0,36,1,2,120.0,0,0
391,1,3,0,21,0,0,7.7958,0,1
392,0,3,0,28,2,0,7.925,0,0
393,1,1,1,23,1,0,113.275,1,0
394,1,3,1,24,0,2,16.7,0,0
395,0,3,0,22,0,0,7.7958,0,1
396,0,3,1,31,0,0,7.8542,0,1
397,0,2,0,46,0,0,26.0,0,1
398,0,2,0,23,0,0,10.5,0,1
399,1,2,1,28,0,0,12.65,0,1
400,1,3,0,39,0,0,7.925,0,1
401,0,3,0,26,0,0,8.05,0,1
402,0,3,1,21,1,0,9.825,0,0
403,0,3,0,28,1,0,15.85,0,0
404,0,3,1,20,0,0,8.6625,0,1
405,0,2,0,34,1,0,21.0,0,0
406,0,3,0,51,0,0,7.75,0,1
407,1,2,0,3,1,1,18.75,0,0
408,0,3,0,21,0,0,7.775,0,1
411,0,3,0,29,0,0,6.8583,2,1
412,1,1,1,33,1,0,90.0,2,0
414,1,3,0,44,0,0,7.925,0,1
415,0,3,1,29,0,0,8.05,0,1
416,1,2,1,34,1,1,32.5,0,0
417,1,2,1,18,0,2,13.0,0,0
419,0,3,1,10,0,2,24.15,0,0
421,0,3,0,21,0,0,7.7333,2,1
422,0,3,0,29,0,0,7.875,0,1
423,0,3,1,28,1,1,14.4,0,0
424,0,3,0,18,1,1,20.2125,0,0
426,1,2,1,28,1,0,26.0,0,0
427,1,2,1,19,0,0,26.0,0,1
429,1,3,0,32,0,0,8.05,0,1
430,1,1,0,28,0,0,26.55,0,1
432,1,2,1,42,1,0,26.0,0,0
433,0,3,0,17,0,0,7.125,0,1
434,0,1,0,50,1,0,55.9,0,0
435,1,1,1,14,1,2,120.0,0,0
436,0,3,1,21,2,2,34.375,0,0
437,1,2,1,24,2,3,18.75,0,0
438,0,1,0,64,1,4,263.0,0,0
439,0,2,0,31,0,0,10.5,0,1
440,1,2,1,45,1,1,26.25,0,0
441,0,3,0,20,0,0,9.5,0,1
442,0,3,0,25,1,0,7.775,0,0
443,1,2,1,28,0,0,13.0,0,1
444,1,3,0,29,0,0,8.1125,0,1
445,1,1,0,4,0,2,81.8583,0,0
446,1,2,1,13,0,1,19.5,0,0
447,1,1,0,34,0,0,26.55,0,1
448,1,3,1,5,2,1,19.2583,1,0
449,1,1,0,52,0,0,30.5,0,1
450,0,2,0,36,1,2,27.75,0,0
451,0,3,0,29,1,0,19.9667,0,0
452,0,1,0,30,0,0,27.75,1,1
453,1,1,0,49,1,0,89.1042,1,0
455,1,3,0,29,0,0,7.8958,1,1
456,0,1,0,65,0,0,26.55,0,1
457,1,1,1,29,1,0,51.8625,0,0
458,1,2,1,50,0,0,10.5,0,1
460,1,1,0,48,0,0,26.55,0,1
461,0,3,0,34,0,0,8.05,0,1
462,0,1,0,47,0,0,38.5,0,1
463,0,2,0,48,0,0,13.0,0,1
465,0,3,0,38,0,0,7.05,0,1
467,0,1,0,56,0,0,26.55,0,1
468,0,3,0,29,0,0,7.725,2,1
469,1,3,1,0,2,1,19.2583,1,0
471,0,3,0,38,0,0,8.6625,0,1
472,1,2,1,33,1,2,27.75,0,0
473,1,2,1,23,0,0,13.7917,1,1
474,0,3,1,22,0,0,9.8375,0,1
475,0,1,0,29,0,0,52.0,0,1
477,0,3,0,29,1,0,7.0458,0,0
478,0,3,0,22,0,0,7.5208,0,1
479,1,3,1,2,0,1,12.2875,0,0
480,0,3,0,9,5,2,46.9,0,0
482,0,3,0,50,0,0,8.05,0,1
483,1,3,1,63,0,0,9.5875,0,1
484,1,1,0,25,1,0,91.0792,1,0
486,1,1,1,35,1,0,90.0,0,0
487,0,1,0,58,0,0,29.7,1,1
489,1,3,0,9,1,1,15.9,0,0
491,0,3,0,21,0,0,7.25,0,1
492,0,1,0,55,0,0,30.5,0,1
493,0,1,0,71,0,0,49.5042,1,1
495,0,3,0,29,0,0,14.4583,1,1
496,1,1,1,54,1,0,78.2667,1,0
497,0,3,0,29,0,0,15.1,0,1
498,0,1,1,25,1,2,151.55,0,0
499,0,3,0,24,0,0,7.7958,0,1
501,0,3,1,21,0,0,7.75,2,1
502,0,3,1,29,0,0,7.6292,2,1
503,0,3,1,37,0,0,9.5875,0,1
504,1,1,1,16,0,0,86.5,0,1
505,0,1,0,18,1,0,108.9,1,0
506,1,2,1,33,0,2,26.0,0,0
507,1,1,0,29,0,0,26.55,0,1
508,0,3,0,28,0,0,22.525,0,1
509,1,3,0,26,0,0,56.4958,0,1
510,1,3,0,29,0,0,7.75,2,1
512,1,1,0,36,0,0,26.2875,0,1
513,1,1,1,54,1,0,59.4,1,0
514,0,3,0,24,0,0,7.4958,0,1
515,0,1,0,47,0,0,34.0208,0,1
516,1,2,1,34,0,0,10.5,0,1
517,0,3,0,29,0,0,24.15,2,1
518,1,2,1,36,1,0,26.0,0,0
519,0,3,0,32,0,0,7.8958,0,1
520,1,1,1,30,0,0,93.5,0,1
523,1,1,1,44,0,1,57.9792,1,0
524,0,3,0,29,0,0,7.2292,1,1
525,0,3,0,40,0,0,7.75,2,1
527,0,1,0,29,0,0,221.7792,0,1
528,0,3,0,39,0,0,7.925,0,1
529,0,2,0,23,2,1,11.5,0,0
530,1,2,1,2,1,1,26.0,0,0
532,0,3,0,17,1,1,7.2292,1,0
533,1,3,1,29,0,2,22.3583,1,0
534,0,3,1,30,0,0,8.6625,0,1
535,1,2,1,7,0,2,26.25,0,0
536,0,1,0,45,0,0,26.55,0,1
537,1,1,1,30,0,0,106.425,1,1
538,0,3,0,29,0,0,14.5,0,1
539,1,1,1,22,0,2,49.5,1,0
540,1,1,1,36,0,2,71.0,0,0
541,0,3,1,9,4,2,31.275,0,0
542,0,3,1,11,4,2,31.275,0,0
543,1,2,0,32,1,0,26.0,0,0
544,0,1,0,50,1,0,106.425,1,0
545,0,1,0,64,0,0,26.0,0,1
546,1,2,1,19,1,0,26.0,0,0
547,1,2,0,29,0,0,13.8625,1,1
548,0,3,0,33,1,1,20.525,0,0
549,1,2,0,8,1,1,36.75,0,0
550,1,1,0,17,0,2,110.8833,1,0
551,0,2,0,27,0,0,26.0,0,1
552,0,3,0,29,0,0,7.8292,2,1
553,1,3,0,22,0,0,7.225,1,1
554,1,3,1,22,0,0,7.775,0,1
556,1,1,1,48,1,0,39.6,1,0
557,0,1,0,29,0,0,227.525,1,1
558,1,1,1,39,1,1,79.65,0,0
559,1,3,1,36,1,0,17.4,0,0
561,0,3,0,40,0,0,7.8958,0,1
562,0,2,0,28,0,0,13.5,0,1
565,0,3,0,24,2,0,24.15,0,0
566,0,3,0,19,0,0,7.8958,0,1
567,0,3,1,29,0,4,21.075,0,0
569,1,3,0,32,0,0,7.8542,0,1
570,1,2,0,62,0,0,10.5,0,1
571,1,1,1,53,2,0,51.4792,0,0
572,1,1,0,36,0,0,26.3875,0,1
574,0,3,0,16,0,0,8.05,0,1
575,0,3,0,19,0,0,14.5,0,1
576,1,2,1,34,0,0,13.0,0,1
577,1,1,1,39,1,0,55.9,0,0
578,0,3,1,29,1,0,14.4583,1,0
579,1,3,0,32,0,0,7.925,0,1
580,1,2,1,25,1,1,30.0,0,0
581,1,1,1,39,1,1,110.8833,1,0
582,0,2,0,54,0,0,26.0,0,1
583,0,1,0,36,0,0,40.125,1,1
584,0,3,0,29,0,0,8.7125,1,1
585,1,1,1,18,0,2,79.65,0,0
586,0,2,0,47,0,0,15.0,0,1
587,1,1,0,60,1,1,79.2,1,0
590,0,3,0,35,0,0,7.125,0,1
591,1,1,1,52,1,0,78.2667,1,0
592,0,3,0,47,0,0,7.25,0,1
593,0,3,1,29,0,2,7.75,2,0
594,0,2,0,37,1,0,26.0,0,0
595,0,3,0,36,1,1,24.15,0,0
596,1,2,1,29,0,0,33.0,0,1
597,0,3,0,49,0,0,0.0,0,1
599,1,1,0,49,1,0,56.9292,1,0
600,1,2,1,24,2,1,27.0,0,0
602,0,1,0,29,0,0,42.4,0,1
603,0,3,0,44,0,0,8.05,0,1
604,1,1,0,35,0,0,26.55,1,1
605,0,3,0,36,1,0,15.55,0,0
606,0,3,0,30,0,0,7.8958,0,1
607,1,1,0,27,0,0,30.5,0,1
608,1,2,1,22,1,2,41.5792,1,0
609,1,1,1,40,0,0,153.4625,0,1
610,0,3,1,39,1,5,31.275,0,0
611,0,3,0,29,0,0,7.05,0,1
615,1,2,1,24,1,2,65.0,0,0
616,0,3,0,34,1,1,14.4,0,0
617,0,3,1,26,1,0,16.1,0,0
618,1,2,1,4,2,1,39.0,0,0
619,0,2,0,26,0,0,10.5,0,1
620,0,3,0,27,1,0,14.4542,1,0
621,1,1,0,42,1,0,52.5542,0,0
622,1,3,0,20,1,1,15.7417,1,0
623,0,3,0,21,0,0,7.8542,0,1
624,0,3,0,21,0,0,16.1,0,1
625,0,1,0,61,0,0,32.3208,0,1
626,0,2,0,57,0,0,12.35,2,1
627,1,1,1,21,0,0,77.9583,0,1
628,0,3,0,26,0,0,7.8958,0,1
629,0,3,0,29,0,0,7.7333,2,1
630,1,1,0,80,0,0,30.0,0,1
631,0,3,0,51,0,0,7.0542,0,1
632,1,1,0,32,0,0,30.5,1,1
633,0,1,0,29,0,0,0.0,0,1
634,0,3,1,9,3,2,27.9,0,0
637,0,2,0,31,1,1,26.25,0,0
638,0,3,1,41,0,5,39.6875,0,0
639,0,3,0,29,1,0,16.1,0,0
642,0,3,1,2,3,2,27.9,0,0
643,1,3,0,29,0,0,56.4958,0,1
645,1,1,0,48,1,0,76.7292,1,0
647,1,1,0,56,0,0,35.5,1,1
648,0,3,0,29,0,0,7.55,0,1
649,1,3,1,23,0,0,7.55,0,1
651,1,2,1,18,0,1,23.0,0,0
652,0,3,0,21,0,0,8.4333,0,1
653,1,3,1,29,0,0,7.8292,2,1
654,0,3,1,18,0,0,6.75,2,1
655,0,2,0,24,2,0,73.5,0,0
657,0,3,1,32,1,1,15.5,2,0
658,0,2,0,23,0,0,13.0,0,1
659,0,1,0,58,0,2,113.275,1,0
660,1,1,0,50,2,0,133.65,0,0
661,0,3,0,40,0,0,7.225,1,1
662,0,1,0,47,0,0,25.5875,0,1
663,0,3,0,36,0,0,7.4958,0,1
664,1,3,0,20,1,0,7.925,0,0
665,0,2,0,32,2,0,73.5,0,0
667,0,3,0,29,0,0,7.775,0,1
668,0,3,0,43,0,0,8.05,0,1
669,1,1,1,29,1,0,52.0,0,0
670,1,2,1,40,1,1,39.0,0,0
671,0,1,0,31,1,0,52.0,0,0
672,0,2,0,70,0,0,10.5,0,1
673,1,2,0,31,0,0,13.0,0,1
675,0,3,0,18,0,0,7.775,0,1
676,0,3,0,24,0,0,8.05,0,1
677,1,3,1,18,0,0,9.8417,0,1
678,0,3,1,43,1,6,46.9,0,0
679,1,1,0,36,0,1,512.3292,1,0
680,0,3,1,29,0,0,8.1375,2,1
681,1,1,0,27,0,0,76.7292,1,1
682,0,3,0,20,0,0,9.225,0,1
683,0,3,0,14,5,2,46.9,0,0
684,0,2,0,60,1,1,39.0,0,0
685,0,2,0,25,1,2,41.5792,1,0
686,0,3,0,14,4,1,39.6875,0,0
687,0,3,0,19,0,0,10.1708,0,1
688,0,3,0,18,0,0,7.7958,0,1
689,1,1,1,15,0,1,211.3375,0,0
690,1,1,0,31,1,0,57.0,0,0
691,1,3,1,4,0,1,13.4167,1,0
693,0,3,0,25,0,0,7.225,1,1
694,0,1,0,60,0,0,26.55,0,1
695,0,2,0,52,0,0,13.5,0,1
697,1,3,1,29,0,0,7.7333,2,1
698,0,1,0,49,1,1,110.8833,1,0
699,0,3,0,42,0,0,7.65,0,1
700,1,1,1,18,1,0,227.525,1,0
701,1,1,0,35,0,0,26.2875,0,1
702,0,3,1,18,0,1,14.4542,1,0
703,0,3,0,25,0,0,7.7417,2,1
704,0,3,0,26,1,0,7.8542,0,0
705,0,2,0,39,0,0,26.0,0,1
706,1,2,1,45,0,0,13.5,0,1
